galaxy,r_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms,D_Mpc,D_err_Mpc,i_deg,i_err_deg,L36_tot,M_HI,L36_disk,L36_bulge
UGC08490,3.05,78.5,3.69,39.62,0.0,21.24,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,3.38,78.2,3.69,38.18,0.0,22.11,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,3.72,78.8,3.69,36.93,0.0,23.77,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,4.06,79.2,3.69,35.68,0.0,25.04,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,4.39,79.2,3.69,34.2,0.0,24.74,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,4.74,79.2,3.69,32.41,0.0,24.74,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,5.08,78.8,3.69,31.05,0.0,23.87,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,5.41,78.5,3.69,29.85,0.0,22.31,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,5.75,80.1,3.69,28.79,0.0,22.6,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,6.09,80.1,3.69,27.84,0.0,23.18,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,6.42,80.1,3.69,26.98,0.0,22.99,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,6.77,80.1,3.69,26.18,0.0,22.99,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,7.11,79.8,3.69,25.47,0.0,22.8,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,7.44,79.8,3.69,24.82,0.0,23.87,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,7.78,79.5,3.69,24.22,0.0,24.06,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,8.12,79.5,3.69,23.66,0.0,22.89,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,8.46,78.8,3.69,23.15,0.0,23.09,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,8.8,77.9,3.69,22.65,0.0,23.38,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,9.13,77.2,3.69,22.21,0.0,22.8,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,9.47,77.6,3.69,21.79,0.0,22.21,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,9.77,76.6,3.69,21.43,0.0,22.21,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08490,10.15,77.6,3.69,21.0,0.0,22.5,4.65,0.53,50.0,3.0,1.017,0.72,,
UGC08837,0.52,7.31,2.12,11.19,0.0,-3.67,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,1.05,14.6,2.05,16.58,0.0,-4.64,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,1.57,21.0,2.05,20.63,0.0,2.4,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,2.09,28.1,2.06,23.82,0.0,12.6,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,2.63,35.3,2.5,25.79,0.0,16.76,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,3.15,43.0,3.38,27.83,0.0,17.12,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,3.68,46.6,3.15,26.92,0.0,20.09,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC08837,4.2,48.0,3.0,25.81,0.0,22.95,7.21,0.36,80.0,5.0,0.501,0.32,,
UGC09037,2.43,62.2,5.69,136.53,0.0,10.89,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,3.65,88.2,3.85,148.1,0.0,14.29,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,4.86,107.0,4.42,150.72,0.0,16.72,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,6.08,120.0,3.93,151.05,0.0,25.95,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,7.29,124.0,5.15,157.64,0.0,32.85,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,8.51,128.0,4.29,155.32,0.0,38.2,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,9.73,133.0,5.36,153.04,0.0,40.33,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,10.96,138.0,6.78,152.74,0.0,39.17,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,12.19,143.0,6.42,150.89,0.0,46.36,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,13.41,146.0,5.4,145.59,0.0,53.75,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,14.55,148.0,4.5,141.61,0.0,56.66,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,15.78,154.0,4.46,137.81,0.0,60.84,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,17.0,158.0,4.02,133.01,0.0,62.11,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,18.23,159.0,5.07,128.36,0.0,60.94,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,19.46,160.0,7.33,123.99,0.0,60.06,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,20.69,158.0,7.82,120.09,0.0,64.05,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,21.92,155.0,8.07,117.0,0.0,63.17,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,23.14,156.0,7.93,113.92,0.0,61.23,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,24.28,154.0,9.09,110.72,0.0,62.4,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,25.51,150.0,13.4,107.64,0.0,60.16,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,26.73,141.0,20.1,105.08,0.0,64.54,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09037,27.96,152.0,16.0,102.79,0.0,66.58,83.6,8.4,65.0,5.0,68.614,19.078,,
UGC09133,0.32,284.0,34.7,26.79,189.88,-3.24,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,0.63,282.0,18.8,50.47,292.13,-2.41,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,0.95,281.0,12.6,72.14,320.6,-0.21,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,1.26,280.0,10.6,90.82,326.59,2.45,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,1.58,280.0,10.8,108.12,325.9,3.54,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,1.89,279.0,7.67,123.29,320.4,4.4,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,2.21,279.0,11.2,137.43,313.32,5.23,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,2.52,279.0,4.45,149.84,305.5,6.01,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,2.84,279.0,5.03,161.33,297.22,6.75,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,3.15,279.0,4.26,171.56,290.7,7.48,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,3.47,279.0,4.14,181.11,286.88,8.19,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,3.79,279.0,5.73,189.8,283.42,8.9,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,4.1,280.0,4.52,197.34,279.37,9.6,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,4.42,280.0,4.86,204.41,274.03,10.25,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,4.73,280.0,1.59,210.6,267.5,10.97,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,5.05,281.0,1.85,215.35,260.4,11.69,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,5.36,282.0,4.81,218.91,253.49,12.31,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,5.68,282.0,20.3,222.04,246.69,13.02,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,5.99,283.0,12.8,224.98,240.45,13.74,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,6.31,284.0,8.08,228.22,234.35,14.46,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,6.62,284.0,7.81,231.93,228.92,15.07,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,6.94,285.0,10.4,235.94,223.68,15.79,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,7.57,286.0,6.82,242.45,214.14,17.23,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,7.89,287.0,13.4,243.91,209.75,17.95,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,8.2,287.0,10.5,244.06,205.73,18.77,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,8.31,288.0,2.93,244.14,204.35,18.97,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,8.52,288.0,5.58,244.43,201.86,19.59,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,8.83,288.0,5.74,245.34,198.26,20.3,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,9.15,288.0,7.0,245.9,194.78,21.12,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,9.78,289.0,12.7,245.25,188.37,22.56,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,10.1,289.0,3.89,244.0,185.3,23.18,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,11.04,288.0,5.02,239.18,177.32,25.23,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,11.36,288.0,3.39,237.64,174.8,25.74,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,11.67,288.0,10.7,236.26,172.47,26.35,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,13.57,285.0,4.07,230.28,159.94,29.02,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,13.88,284.0,8.92,229.01,158.15,29.38,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,14.2,284.0,5.69,228.03,156.35,29.84,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,16.61,278.0,9.14,219.86,144.57,32.61,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,19.35,273.0,6.1,212.46,133.94,35.69,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,22.19,269.0,2.26,201.82,125.08,39.89,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,24.92,265.0,1.32,194.49,118.03,44.61,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,27.66,262.0,3.15,187.22,112.03,49.22,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,30.5,257.0,4.71,179.93,106.69,51.48,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,33.23,252.0,4.96,173.14,102.21,51.89,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,35.96,247.0,2.58,166.11,98.25,50.25,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,38.8,242.0,2.52,159.33,94.59,48.3,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,41.54,238.0,2.3,153.43,91.42,47.17,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,44.27,235.0,0.63,147.95,88.55,47.68,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,47.11,236.0,1.4,142.73,85.84,49.73,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,49.84,239.0,2.07,138.21,83.46,50.56,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,52.58,242.0,2.63,133.98,81.25,49.43,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,55.42,245.0,1.64,129.96,79.14,49.12,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,58.15,247.0,1.31,126.43,77.26,50.56,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,60.89,246.0,2.14,123.2,75.51,53.22,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,63.62,243.0,4.0,120.17,73.87,53.84,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,66.46,239.0,4.67,117.27,72.27,53.63,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,69.19,234.0,5.12,114.7,70.83,53.12,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,71.93,230.0,2.1,112.26,69.47,53.02,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,74.77,228.0,1.32,109.91,68.14,53.32,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,77.5,228.0,1.6,107.81,66.93,54.04,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,80.23,227.0,3.16,105.81,65.78,54.66,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,83.07,226.0,3.48,103.86,64.64,54.96,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,85.81,224.0,3.71,102.09,63.6,54.86,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,88.54,222.0,1.49,100.4,62.62,54.35,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,91.38,222.0,1.18,98.74,61.64,53.73,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,94.12,224.0,1.22,97.22,60.73,53.22,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,99.69,227.0,2.8,94.34,59.01,52.91,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC09133,108.31,229.0,4.12,90.37,56.61,51.38,57.1,11.4,53.0,6.0,282.926,33.428,,
UGC11455,0.62,35.1,4.01,71.2,0.0,0.82,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,1.23,64.6,4.19,112.64,0.0,1.0,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,1.83,80.1,6.32,139.71,0.0,2.09,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,2.47,113.0,10.4,159.08,0.0,3.39,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,3.08,136.0,7.59,171.23,0.0,2.17,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,3.68,150.0,7.75,180.9,0.0,0.18,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,4.32,171.0,9.19,190.21,0.0,0.0,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,4.91,192.0,9.16,198.61,0.0,0.2,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,5.53,197.0,9.96,213.09,0.0,0.2,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,6.17,195.0,12.4,230.24,0.0,0.0,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,6.78,196.0,7.09,253.17,0.0,0.58,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,7.38,216.0,5.99,275.53,0.0,2.58,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,8.0,225.0,5.24,287.96,0.0,0.0,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,8.62,240.0,6.15,290.86,0.0,0.0,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,9.23,247.0,4.37,295.63,0.0,7.92,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,9.85,254.0,6.48,302.1,0.0,16.06,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,10.43,257.0,7.41,307.81,0.0,21.24,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,11.05,273.0,5.38,312.49,0.0,23.48,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,11.67,272.0,5.98,316.07,0.0,24.19,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,12.19,270.0,20.9,319.44,0.0,23.78,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,12.91,279.0,9.4,323.2,0.0,22.46,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,14.56,287.0,10.8,326.62,0.0,23.48,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,16.63,291.0,10.0,316.26,0.0,24.49,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,17.77,286.0,9.67,310.12,0.0,24.49,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,18.49,288.0,6.96,307.21,0.0,26.12,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,20.24,289.0,6.63,301.54,0.0,41.26,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,22.62,288.0,10.0,294.39,0.0,55.9,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,24.89,269.0,8.23,286.32,0.0,53.66,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,27.06,267.0,7.11,273.02,0.0,52.14,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,29.13,272.0,5.36,261.41,0.0,47.05,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,31.3,274.0,5.78,250.43,0.0,45.53,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,33.46,259.0,5.81,239.85,0.0,50.92,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,35.53,272.0,6.69,229.51,0.0,49.39,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,37.7,274.0,6.39,219.93,0.0,46.04,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,39.87,272.0,5.59,212.13,0.0,49.19,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC11455,41.93,266.0,8.82,205.47,0.0,49.09,78.6,11.8,90.0,1.0,374.322,13.335,,
UGC12506,0.82,107.0,25.6,32.7,0.0,8.12,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,2.46,159.0,26.5,79.76,0.0,22.67,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,4.1,194.0,13.9,107.57,0.0,31.68,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,5.74,198.0,14.6,124.14,0.0,34.72,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,7.38,211.0,13.2,137.6,0.0,31.78,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,9.02,222.0,13.6,155.68,0.0,23.89,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,10.65,230.0,11.6,168.58,0.0,14.68,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,12.29,239.0,11.6,175.29,0.0,14.98,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,13.93,237.0,11.6,175.91,0.0,26.72,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,15.57,240.0,11.6,176.17,0.0,39.88,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,17.21,245.0,11.6,175.33,0.0,50.51,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,18.85,249.0,11.6,172.3,0.0,57.09,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,20.49,248.0,11.6,168.12,0.0,60.02,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,22.13,250.0,11.6,164.68,0.0,60.43,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,23.77,255.0,11.6,161.19,0.0,58.91,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,25.41,244.0,14.9,157.33,0.0,57.29,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,27.05,244.0,11.6,153.64,0.0,58.0,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,28.68,249.0,11.6,149.77,0.0,61.94,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,30.32,251.0,11.6,146.07,0.0,65.99,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,31.96,249.0,11.6,143.32,0.0,67.21,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,33.6,244.0,12.9,140.67,0.0,64.98,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,35.24,239.0,16.2,138.0,0.0,62.25,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,36.88,238.0,18.4,135.58,0.0,61.64,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,38.52,241.0,24.9,133.6,0.0,63.36,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,40.16,237.0,23.0,131.71,0.0,64.98,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,41.8,228.0,14.0,130.03,0.0,64.88,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,43.44,233.0,16.9,129.69,0.0,63.87,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,45.08,233.0,13.7,130.42,0.0,64.47,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,46.71,230.0,11.6,123.79,0.0,69.03,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,48.35,226.0,11.6,119.55,0.0,76.21,100.6,10.1,86.0,4.0,139.571,35.556,,
UGC12506,49.99,225.0,11.6,116.42,0.0,82.59,100.6,10.1,86.0,4.0,139.571,35.556,,
UGCA442,0.42,14.2,1.91,4.78,0.0,4.87,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,1.26,28.6,1.82,10.76,0.0,13.14,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,2.11,41.0,1.74,13.6,0.0,19.65,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,2.96,49.0,1.91,13.29,0.0,22.42,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,3.79,54.8,2.05,12.56,0.0,22.82,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,4.65,56.4,3.12,12.33,0.0,21.37,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,5.48,57.8,2.83,12.04,0.0,18.73,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA442,6.33,56.5,0.65,10.62,0.0,16.75,4.35,0.22,64.0,7.0,0.14,0.263,,
UGCA444,0.12,6.48,2.6,2.2,0.0,-0.66,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.19,8.6,2.65,2.24,0.0,0.47,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.26,10.2,3.03,2.72,0.0,1.82,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.33,11.7,3.55,2.9,0.0,3.08,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.4,12.7,3.75,2.92,0.0,4.2,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.47,14.1,3.43,3.03,0.0,5.32,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.55,16.0,3.33,3.44,0.0,6.65,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.62,18.1,2.66,3.69,0.0,7.97,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.69,21.2,3.78,3.81,0.0,9.25,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.76,21.6,3.33,3.95,0.0,10.36,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.83,23.3,3.09,4.15,0.0,11.58,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.9,24.5,3.26,4.32,0.0,12.39,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,0.97,24.4,3.29,4.46,0.0,13.1,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.04,25.3,2.78,4.57,0.0,13.71,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.11,25.4,2.78,4.69,0.0,14.22,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.19,25.9,2.73,4.81,0.0,14.63,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.26,26.7,2.67,4.88,0.0,14.83,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.33,27.1,3.16,4.95,0.0,15.03,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.4,28.6,3.34,5.03,0.0,15.13,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.48,28.9,3.21,5.09,0.0,15.24,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.55,30.4,4.14,5.13,0.0,15.34,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.62,30.8,4.35,5.17,0.0,15.54,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.69,30.5,4.56,5.21,0.0,15.54,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.75,33.0,4.04,5.22,0.0,15.54,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.83,32.1,4.35,5.25,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.9,32.9,4.36,5.28,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,1.97,34.2,4.9,5.3,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.04,32.6,3.98,5.31,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.11,33.7,4.73,5.33,0.0,15.74,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.19,33.8,4.67,5.35,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.26,34.9,3.74,5.36,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.33,36.1,5.47,5.39,0.0,15.64,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.4,37.2,5.39,5.42,0.0,15.24,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.48,37.6,7.1,5.5,0.0,14.73,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.55,35.6,4.73,5.46,0.0,14.22,0.98,0.05,78.0,4.0,0.012,0.067,,
UGCA444,2.62,38.3,7.78,5.25,0.0,13.81,0.98,0.05,78.0,4.0,0.012,0.067,,
